"도로명코드","도로명","도로명 로마자","읍면동일련번호","시도명","시도명 로마자","시군구명","시군구명 로마자","읍면동명","읍면동명 로마자","읍면동구분","읍면동코드","사용여부","변경사유","변경이력정보","고시일자","말소일자"
"111103005007","지봉로","Jibong-ro","02","서울특별시","Seoul","종로구","Jongno-gu","숭인동","Sungin-dong","1","175","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","01","서울특별시","Seoul","종로구","Jongno-gu","와룡동","Waryong-dong","1","130","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","02","서울특별시","Seoul","종로구","Jongno-gu","인의동","Inui-dong","1","157","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","03","서울특별시","Seoul","종로구","Jongno-gu","예지동","Yeji -dong","1","158","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","04","서울특별시","Seoul","종로구","Jongno-gu","원남동","Wonnam-dong","1","159","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","05","서울특별시","Seoul","종로구","Jongno-gu","종로4가","Jongno 4(sa)-ga","1","161","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","06","서울특별시","Seoul","종로구","Jongno-gu","혜화동","Hyehwa-dong","1","169","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","07","서울특별시","Seoul","종로구","Jongno-gu","명륜2가","Myeongnyun 2(i)-ga","1","171","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","08","서울특별시","Seoul","종로구","Jongno-gu","명륜4가","Myeongnyun 4(sa)-ga","1","172","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","09","서울특별시","Seoul","종로구","Jongno-gu","명륜3가","Myeongnyun 3(sam)-ga","1","173","0","","","",""
"111103005008","창경궁로","Changgyeonggung-ro","10","서울특별시","Seoul","종로구","Jongno-gu","연건동","Yeongeon-dong","1","166","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","01","서울특별시","Seoul","종로구","Jongno-gu","인의동","Inui-dong","1","157","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","02","서울특별시","Seoul","종로구","Jongno-gu","연지동","Yeonji-dong","1","160","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","03","서울특별시","Seoul","종로구","Jongno-gu","효제동","Hyoje-dong","1","162","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","04","서울특별시","Seoul","종로구","Jongno-gu","종로6가","Jongno 6(yuk)-ga","1","164","0","","","",""
"111103100001","김상옥로","Gimsangok-ro","05","서울특별시","Seoul","종로구","Jongno-gu","충신동","Chungsin-dong","1","167","0","","","",""
"111103100002","대학로","Daehak-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100002","대학로","Daehak-ro","01","서울특별시","Seoul","종로구","Jongno-gu","연지동","Yeonji-dong","1","160","0","","","",""
"111103100002","대학로","Daehak-ro","02","서울특별시","Seoul","종로구","Jongno-gu","효제동","Hyoje-dong","1","162","0","","","",""
"111103100002","대학로","Daehak-ro","03","서울특별시","Seoul","종로구","Jongno-gu","종로5가","Jongno 5(o)-ga","1","163","0","","","",""
"111103100002","대학로","Daehak-ro","04","서울특별시","Seoul","종로구","Jongno-gu","이화동","Ihwa-dong","1","165","0","","","",""
"111103100002","대학로","Daehak-ro","05","서울특별시","Seoul","종로구","Jongno-gu","연건동","Yeongeon-dong","1","166","0","","","",""
"111103100002","대학로","Daehak-ro","06","서울특별시","Seoul","종로구","Jongno-gu","동숭동","Dongsung-dong","1","168","0","","","",""
"111103100002","대학로","Daehak-ro","07","서울특별시","Seoul","종로구","Jongno-gu","혜화동","Hyehwa-dong","1","169","0","","","",""
"111103100002","대학로","Daehak-ro","08","서울특별시","Seoul","종로구","Jongno-gu","명륜4가","Myeongnyun 4(sa)-ga","1","172","0","","","",""
"111103100003","돈화문로","Donhwamun-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
